book_key,title,edition_count,cover_id,cover_edition_key,lendinglibrary,printdisabled,lending_edition,lending_identifier,first_publish_year,status
OL104735W,Optice,22,5868249.0,OL6947578M,False,True,OL23323684M,opticksortreatis1718newt,1704,open
OL1981622W,Essential university physics,22,10181082.0,OL28251299M,False,True,OL28178772M,essentialunivers0000wolf,1988,private
OL1214251W,The evolution of physics,22,5407928.0,OL18288860M,False,True,OL22909951M,evolutionofphysi00eins,1938,borrow_available
OL2538489W,Physics,22,304387.0,OL3940937M,False,True,,,1962,private
OL1186505W,Science and civilisation in China,22,330592.0,OL7716137M,False,True,OL16529029M,zhongguokexuejis05need,1954,borrow_available
OL1146972W,The Grammar of Science,21,1258104.0,OL3304915M,False,False,OL7094214M,grammarofscience00pearrich,1892,open
OL1214252W,Out of my later years,21,6548967.0,OL6068707M,False,True,OL6068707M,outofmylateryear00eins,1950,borrow_available
OL7938237W,Advances in Electronics and Electron Physics (Advances in Imaging and Electron Physics),21,5030394.0,OL10070213M,False,True,OL10070230M,advancesinelectr0000unse_m5x1,1984,borrow_available
OL717865W,Moderne Physik,21,315079.0,OL2193166M,False,True,OL2193166M,atomicphysics00born,1933,borrow_available
OL15367338W,The Grand Design,21,6565532.0,OL24353610M,False,True,OL26131534M,granddesign0000hawk_n8q2,1998,borrow_available
OL13095971W,Abhandlungen der Königlichen Gesellschaft der Wissenschaften zu Göttingen,20,6086941.0,OL20513206M,False,False,OL20461323M,abhandlungen00naukgoog,1791,open
OL263406W,Centrifugal force and gravitation,20,6337681.0,OL24159402M,False,False,OL24159402M,cihm_27563,1873,open
OL7676797W,... Physikalische formelsammlung,20,,,False,False,,,1900,
OL8643346W,A History of Science,20,5151372.0,OL11647396M,False,True,,,2002,private
OL1136296W,"One, two, three ... infinity",19,310408.0,OL2042206M,False,True,,,1947,private
OL10313152W,Compendious system of natural philosophy,19,,,False,False,,,1734,
OL18734438W,First lessons on natural philosophy for children,19,,,False,False,,,1837,
OL21037327W,Solid State Physics,19,10899532.0,OL32271392M,False,False,,,2011,
OL514628W,What Do You Care What Other People Think?,19,1468422.0,OL8106715M,False,True,OL18330311M,whatdoyoucarewha0000feyn,1988,borrow_available
OL21340300W,Problems and Solutions in Medical Physics,19,13492000.0,OL28928538M,False,False,,,2018,
OL17095301W,What If?,19,9083979.0,OL26327044M,False,True,OL26327044M,isbn_9780544272996,1980,borrow_available
OL271750W,The Character of Physical Law,19,96733.0,OL9304028M,False,True,OL22131297M,characterofphysi00feyn,1965,borrow_available
OL5343793W,The metaphysical foundations of modern physical science,19,5410570.0,OL18316714M,False,True,OL23319248M,metaphysicalfoun00burtuoft,1923,open
OL3079600W,Teorii︠a︡ poli︠a︡,18,8368567.0,OL5185796M,False,True,OL5849456M,classicaltheoryo0000land,1951,borrow_available
OL3474173W,The Road to Reality,18,8427776.0,OL7699342M,False,True,OL7699342M,roadtorealitycom00penr_0,2004,borrow_available
OL16940153W,"Advances in atomic, molecular, and optical physics",18,5030819.0,OL10069871M,False,True,,,1991,private
OL46388W,Understanding Physics,18,9300871.0,OL26338999M,False,True,OL8133343M,understandingphy03isaa,1966,borrow_available
OL1182888W,Tables of physical and chemical constants and some mathematical functions,17,5533240.0,OL3029595M,False,True,OL7064168M,tablesphysical00kayerich,1911,open
OL24938809W,Conversations on natural philosophy,17,11854658.0,OL33149783M,False,False,OL33149783M,conversationsonn01marc,1820,open
OL6813527W,"Voyage autour du monde … pendant les années 1817, 1818, 1819 et 1820",17,6711608.0,OL24613395M,False,False,,,1824,
OL21013530W,Physics,17,12460125.0,OL35460451M,False,True,OL35460451M,studentstudyguid0000cutn_n9r8,2004,borrow_available
OL24812851W,Advances in biological and medical physics,17,11585475.0,OL9739553M,False,True,OL9739553M,advancesinbiolog0015unse,1974,borrow_available
OL118014W,The sciences,17,303889.0,OL6787146M,False,True,OL1413573M,sciencesintegrat0000tref_a3u8,1994,borrow_available
OL158165W,Claudii Ptolemaei Opera quae exstant omnia,17,5758619.0,OL23288850M,False,False,OL7213279M,pt1claudiiptolemaei01ptoluoft,1898,open
OL16025198W,Active physics,17,6724433.0,OL21573014M,False,True,OL21573014M,activephysics00eise,1998,borrow_available
OL46356W,"The Electron, Proton and Neutron",17,10651145.0,OL31974027M,False,True,OL40233692M,understandingphy0003isaa,1966,borrow_available
OL8229634W,Introductory Physics,16,12152907.0,OL22135737M,False,True,OL22135737M,introductoryphys0000toug,2004,borrow_available
OL3079599W,Statisticheskai︠a︡ fizika,16,5299236.0,OL4739332M,False,True,OL6248063M,statisticalphysi05land,1938,borrow_available
OL2762438W,Physics,16,1063554.0,OL706334M,False,True,OL1124382M,physicsworldview00kirk,1992,borrow_available
OL29337808W,Physics,16,,,False,False,,,1971,
OL326411W,Wandlungen in den Grundlagen der Naturwissenschaft,16,5287524.0,OL13538870M,False,False,,,1935,
OL5458485W,Le opere di Galileo Galilei,16,9826062.0,OL260959M,False,False,OL20447234M,leoperedigalile01vivigoog,1842,open
OL46355W,"Light, Magnetism, and Electricity",16,10655842.0,OL31980603M,False,True,OL40233691M,understandingphy0002isaa,1966,borrow_available
OL19824648W,Advances in Nuclear Physics,16,8615131.0,OL27015178M,False,True,,,1978,private
OL20594157W,5 Steps to a 5,16,9235165.0,OL27843345M,False,False,,,2018,
OL4965104W,Traité de physique,15,5973526.0,OL16855490M,False,False,OL16855490M,jacobirohaultip00newtgoog,1671,open
